trial_type	image_path	onset	block	category	task_version	offset	subcategory	image_num	block_trial	duration	target	reaction_time	task
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-82.jpg	19.88358044205233	2.0	places	alt	20.281630642246455	corridor	corridor-82.jpg	3.0	0.3980502001941204	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-93.jpg	20.38296796986833	2.0	places	alt	20.78178856428713	corridor	corridor-93.jpg	4.0	0.3988205944187939	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-129.jpg	20.881635066121817	2.0	places	alt	21.281572199892253	corridor	corridor-129.jpg	5.0	0.3999371337704361	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-18.jpg	21.383103812113408	2.0	places	alt	21.783006125129763	corridor	corridor-18.jpg	6.0	0.39990231301635504	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-123.jpg	21.86693876190111	2.0	places	alt	22.26681532524526	corridor	corridor-123.jpg	7.0	0.3998765633441508	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-143.jpg	22.36707049887627	2.0	places	alt	22.76678124628961	corridor	corridor-143.jpg	8.0	0.3997107474133372	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-110.jpg	22.866035330109302	2.0	places	alt	23.267452715896074	corridor	corridor-110.jpg	9.0	0.4014173857867718	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-69.jpg	23.366157330106944	2.0	places	alt	23.76558518316597	corridor	corridor-69.jpg	10.0	0.3994278530590236	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-4.jpg	23.85046828398481	2.0	places	alt	24.249568443279713	corridor	corridor-4.jpg	11.0	0.3991001592949033	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-30.jpg	24.35003281990066	3.0	bodies	alt	24.750901708845053	limb	limb-30.jpg	0.0	0.4008688889443873	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-83.jpg	24.85048278607428	3.0	bodies	alt	25.25039385724813	limb	limb-83.jpg	1.0	0.3999110711738467	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-118.jpg	25.34952969523147	3.0	bodies	alt	25.749637990258638	limb	limb-118.jpg	2.0	0.4001082950271666	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-90.jpg	25.849411615170542	3.0	bodies	alt	26.248846726957712	limb	limb-90.jpg	3.0	0.39943511178717017	False		
