subject	session	run	hit	miss	false_alarm	correct_rej	old	new	rate_hit_minus_FA	dprime	rt_hit	rt_miss	rt_FA	rt_CR	diff_rt_hit_minus_FA	hit_within	hit_between	hit_within_between	hit_between_within	miss_within	miss_between	miss_within_between	miss_between_within	old_within	old_between	old_within_between	old_between_within	rate_Hwith_min_FA	rate_Hbetw_min_FA	rate_Hwith_betw_min_FA	rate_Hbetw_with_min_FA	rt_hit_within	rt_hit_between	rt_hit_within_between	rt_hit_between_within	diff_rt_Hwith_min_Hbetw	rt_miss_within	rt_miss_between	rt_miss_within_between	rt_miss_between_within	hit_loConf	hit_hiConf	miss_loConf	miss_hiConf	FA_loConf	FA_hiConf	CR_loConf	CR_hiConf	dprime_hiConf	rt_hit_loConf	rt_hit_hiConf	rt_miss_loConf	rt_miss_hiConf	diff_rt_hitHC_minus_hitLC	rt_FA_loConf	rt_FA_hiConf	rt_CR_loConf	rt_CR_hiConf	hit_within_loConf	hit_between_loConf	hit_within_hiConf	hit_between_hiConf	hit_within_between_loConf	hit_between_within_loConf	hit_within_between_hiConf	hit_between_within_hiConf	miss_within_loConf	miss_between_loConf	miss_within_hiConf	miss_between_hiConf	miss_within_between_loConf	miss_between_within_loConf	miss_within_between_hiConf	miss_between_within_hiConf	rt_hit_within_loConf	rt_hit_between_loConf	rt_hit_within_hiConf	rt_hit_between_hiConf	rt_hit_within_between_loConf	rt_hit_between_within_loConf	rt_hit_within_between_hiConf	rt_hit_between_within_hiConf	rt_miss_within_loConf	rt_miss_between_loConf	rt_miss_within_hiConf	rt_miss_between_hiConf	rt_miss_within_between_loConf	rt_miss_between_within_loConf	rt_miss_within_between_hiConf	rt_miss_between_within_hiConf
sub-02	ses-002	run-1	37	3	4	16	40	20	0.7250000000000001	2.2811527045113706	1.4392479561470677	2.534644632339474	2.4526154017448403	1.6271665942668911	-1.0133674455977726	6	12	13	6	0	2	1	0	6	14	14	6	0.8	0.657142857142857	0.7285714285714286	0.8	0.9877115821838393	1.6413424173990905	1.681338330048785	0.9620662641525305	-0.6536308352152512		2.5240399885177567	2.5558539199829085		3	34	1	2	3	1	1	15	2.6812870164452627	1.9899852752685614	1.3906534868128182	2.5558539199829085	2.5240399885177567	-0.5993317884557432	2.504446566899612	2.297121906280524	1.8273879814147944	1.6138185017903643	0	2	6	10	1	0	12	6	0	0	0	2	1	0	0	0		2.039308466911315	0.9877115821838393	1.5617492074966457	1.8913388919830536		1.6638382832209293	0.9620662641525305				2.5240399885177567	2.5558539199829085			
sub-02	ses-002	run-2	36	4	4	16	40	20	0.7	2.1231727991175147	1.3064396905899054	1.673255486488344	2.0478314304351812	1.6459556597471268	-0.7413917398452758	8	9	11	8	0	3	1	0	8	12	12	8	0.8	0.55	0.7166666666666666	0.8	1.0829248559474962	1.552272383371987	1.5159072407809218	0.9653748643398252	-0.4693475274244907		1.6842853323618574	1.6401659488678035		1	35	1	3	3	1	1	15	2.7952030073274807	1.5665880680084283	1.2990068798065189	1.780530986785891	1.6374969863891617	-0.26758118820190946	2.31066395441691	1.2593338584899954	1.6477839279174802	1.6458337752024366	0	0	8	9	1	0	10	8	0	1	0	2	0	0	1	0			1.0829248559474962	1.552272383371987	1.5665880680084283		1.510839158058171	0.9653748643398252		1.780530986785891		1.6361625051498407			1.6401659488678035	
sub-02	ses-002	run-3	38	2	6	14	40	20	0.6499999999999999	2.169254139659513	1.3396700733586382	1.6095719289779673	1.820463808377582	1.7886019236700885	-0.48079373501894374	10	9	9	10	0	1	1	0	10	10	10	10	0.7	0.6000000000000001	0.6000000000000001	0.7	1.0307419757843097	1.7327378845214838	1.5931713242000964	1.0666860151290927	-0.7019959087371741		1.4689679336547885	1.7501759243011463		5	33	0	2	4	2	2	12	2.2161408566180802	2.0867190265655506	1.2264808380242573		1.6095719289779673	-0.8602381885412933	2.0023904681205735	1.4566104888915987	2.3697734355926485	1.6917400050163287	0	2	10	7	3	0	6	10	0	0	0	1	0	0	1	0		1.9648355054855344	1.0307419757843097	1.6664242785317551	2.1679747072855613		1.3057696326573638	1.0666860151290927				1.4689679336547885			1.7501759243011463	
sub-02	ses-002	run-4	38	2	6	14	40	20	0.6499999999999999	2.169254139659513	1.1884922572186134	2.2337091016769652	2.040053083101906	1.9825092220306384	-0.8515608258832927	10	10	8	10	0	0	2	0	10	10	10	10	0.7	0.7	0.5	0.7	0.9976491889953649	1.4957734727859515	1.2870450639724726	0.9932118644714365	-0.4981242837905866			2.2337091016769652		2	36	0	2	3	3	1	13	2.31798495503839	2.296675567626955	1.1269265177514833		2.2337091016769652	-1.1697490498754715	2.153148752848302	1.9269574133555096	3.2292081165313675	1.886609307069044	0	2	10	8	0	0	8	10	0	0	0	0	0	0	2	0		2.296675567626955	0.9976491889953649	1.2955479490757007			1.2870450639724726	0.9932118644714365							2.2337091016769652	
sub-02	ses-002	run-5	20	5	2	14	25	16	0.675	1.9919706139489222	1.1561426396369963	1.829982891082763	2.4642559432983546	1.507582451956616	-1.3081133036613584	5	3	3	9	0	2	3	0	5	5	6	9	0.875	0.475	0.375	0.875	1.0576957149505624	1.4724134667714444	1.4244898764292415	1.0159626875983399	-0.414717751820882		1.871316394805909	1.8024272219339987		0	20	4	1	2	0	0	14	2.704353100994566		1.1561426396369963	1.9538631534576414	1.3344618415832483		2.4642559432983546			1.507582451956616	0	0	5	3	0	0	3	9	0	2	0	0	2	0	1	0			1.0576957149505624	1.4724134667714444			1.4244898764292415	1.0159626875983399		1.871316394805909			2.0364099121093737		1.3344618415832483	
sub-02	ses-002	run-6	39	1	7	13	40	20	0.625	2.345284450947622	1.2254491779131789	1.7552597999572868	1.9737614645276769	1.9685969132643455	-0.748312286614498	14	6	5	14	0	0	1	0	14	6	6	14	0.65	0.65	0.4833333333333334	0.65	1.0608536781583546	1.7512593921025619	1.7815148925781243	0.966102544920787	-0.6904057139442072			1.7552597999572868		5	34	1	0	6	1	3	10	2.6812870164452627	2.14176568222046	1.0906967508091672	1.7552597999572868		-1.0510689314112929	2.0379102134704605	1.5888689708709762	2.471509917577104	1.8177230119705179	0	2	14	4	3	0	2	14	0	0	0	0	1	0	0	0		2.149545884132392	1.0608536781583546	1.5521161460876467	2.1365788809458386		1.2489189100265534	0.966102544920787					1.7552597999572868			
sub-02	ses-003	run-1	36	4	8	12	40	20	0.5	1.5348986686804	1.5750030679172946	2.7073611807823177	1.848172901868826	1.6659920628865574	-0.2731698339515314	6	13	11	6	0	1	3	0	6	14	14	6	0.6	0.5285714285714286	0.3857142857142857	0.6	1.0007309103012052	1.962536425957314	1.7421871809525937	1.0031154092152927	-0.9618055156561087		2.648624849319446	2.726939957936608		8	28	3	1	4	4	1	11	1.3660217462809547	2.2709559953212723	1.3761593743733005	2.572763595581056	3.1111539363861027	-0.8947966209479719	1.8801903724670446	1.8161554312706074	2.5084048366546767	1.589409083453092	0	5	6	8	3	0	8	6	0	1	0	0	2	0	1	0		2.43738484954834	1.0007309103012052	1.6657561612129226	1.993574571609493		1.6479169094562565	1.0031154092152927		2.648624849319446			2.5348329687118607		3.1111539363861027	
sub-02	ses-003	run-2	38	2	6	14	40	20	0.6499999999999999	2.169254139659513	1.3636940127924877	1.5578209829330483	1.9484342908859251	1.637072168077744	-0.5847402780934374	8	10	12	8	0	2	0	0	8	12	12	8	0.7	0.5333333333333334	0.7	0.7	0.9896665823459647	1.5055289173126247	1.7461992692947372	0.9866699278354653	-0.51586233496666		1.5578209829330483			7	31	2	0	3	3	1	13	1.7918484158542591	1.938260331835069	1.233953231073195	1.5578209829330483		-0.704307100761874	2.037168642679854	1.8596999390919962	2.621986026763921	1.5613095635634229	0	4	8	6	3	0	9	8	0	2	0	0	0	0	0	0		1.6153228855133106	0.9896665823459647	1.4323329385121675	2.3688435935974135		1.538651161193845	0.9866699278354653		1.5578209829330483						
sub-02	ses-003	run-3	37	3	6	14	40	20	0.625	1.9639319836464972	1.1946491527557368	1.955892327626562	1.4053939469655354	1.592588339533128	-0.21074479420979864	10	7	10	10	0	3	0	0	10	10	10	10	0.7	0.39999999999999997	0.7	0.7	0.936065864562989	1.4990126718793613	1.4636374759674033	0.971189654350281	-0.5629468073163723		1.955892327626562			3	34	1	2	2	4	4	10	1.8780546230667041	1.7373025957743284	1.1467679666070376	2.113572044372603	1.8770524692535417	-0.5905346291672908	2.0951984262466397	1.0604917073249833	2.003350250720981	1.428283575057987	0	1	10	6	2	0	8	10	0	1	0	2	0	0	0	0		1.8996028804779144	0.936065864562989	1.4322476371129358	1.6561524534225356		1.4155087316036203	0.971189654350281		2.113572044372603		1.8770524692535417				
sub-02	ses-003	run-4	39	1	7	13	40	20	0.625	2.345284450947622	1.2709440918457817	1.4791139411926224	1.8632420349121157	1.9196600840641922	-0.592297943066334	10	10	9	10	0	0	1	0	10	10	10	10	0.65	0.65	0.55	0.65	1.0139797124862633	1.754443139076233	1.360461900499133	0.9638433961868327	-0.7404634265899697			1.4791139411926224		4	35	0	1	5	2	6	7	2.4319009459206082	2.119788520336151	1.173933300018311		1.4791139411926224	-0.9458552203178399	2.115120025634773	1.2335470581054722	2.255611365636194	1.6317018427167622	0	3	10	7	1	0	8	10	0	0	0	0	0	0	1	0		2.1635633373260483	1.0139797124862633	1.5791059112548835	1.988464069366458		1.2819616293907172	0.9638433961868327							1.4791139411926224	
sub-02	ses-003	run-5	37	3	7	13	40	20	0.5750000000000001	1.8248519373460241	1.2329411514385347	1.8780813503265346	2.0046035684858077	1.9134512233734131	-0.771662417047273	12	6	7	12	0	2	1	0	12	8	8	12	0.65	0.4	0.525	0.65	1.0629005495707202	1.7112263568242412	1.5976638453347394	0.9510842458407094	-0.648325807253521		2.0887409877777046	1.4567620754241943		1	36	1	2	4	3	2	11	2.31798495503839	2.2822980785369893	1.203792347908022	2.078179073333743	1.7780324888229302	-1.0785057306289674	2.19882825613022	1.7456373182932576	2.341835546493531	1.8355631646243007	0	0	12	6	1	0	6	12	0	1	0	1	0	0	1	0			1.0629005495707202	1.7112263568242412	2.2822980785369893		1.483558139801031	0.9510842458407094		2.078179073333743		2.099302902221666			1.4567620754241943	
sub-02	ses-003	run-6	40	0	4	16	40	20	0.8	3.083023961177861	1.1920060462951674		1.4140991783142098	1.6359368252754223	-0.22209313201904246	14	6	6	14	0	0	0	0	14	6	6	14	0.8	0.8	0.8	0.8	1.0685046584265585	1.7188569561640403	1.405962440172828	0.9980185897009762	-0.6503522977374818					4	36	0	0	0	4	3	13	2.1231727991175147	1.8889061808586103	1.1145726980103403			-0.77433348284827		1.4140991783142098	2.093690913518278	1.5303012664501479	0	3	14	3	1	0	5	14	0	0	0	0	0	0	0	0		2.0056706269582087	1.0685046584265585	1.4320432853698717	1.5386128425598145		1.3794323596954308	0.9980185897009762								
sub-02	ses-004	run-1	37	3	4	16	40	20	0.7250000000000001	2.2811527045113706	1.4438941538011723	2.0588178793589273	1.6959681296348583	1.6911097115278253	-0.25207397583368607	6	12	13	6	0	2	1	0	6	14	14	6	0.8	0.657142857142857	0.7285714285714286	0.8	0.9529408629735272	1.8634174021085126	1.5073544399554917	0.9583036613464438	-0.9104765391349854		2.1195318794250486	1.9373898792266848		8	29	1	2	0	4	2	14	1.4393813596153926	2.153808526992799	1.2480557060241717	2.760888900756836	1.7077823686599731	-0.9057528209686272		1.6959681296348583	2.2984995079040544	1.6043397406169355	0	5	6	7	3	0	10	6	0	1	0	1	0	0	1	0		2.237475105285651	0.9529408629735272	1.5962333284105565	2.014364229838046		1.3552515029907255	0.9583036613464438		2.760888900756836		1.4781748580932614			1.9373898792266848	
sub-02	ses-004	run-2	37	3	3	17	40	20	0.775	2.475964860432246	1.2168143883266973	1.6699912675221782	2.1238745816548743	1.5475351445815149	-0.907060193328177	8	9	12	8	0	3	0	0	8	12	12	8	0.85	0.6	0.85	0.85	0.9308666217327093	1.4663382487826924	1.4336507105827347	0.8967933285236354	-0.5354716270499831		1.6699912675221782			3	34	0	3	2	1	2	15	2.6812870164452627	2.0490168762207026	1.1433847570419322		1.6699912675221782	-0.9056321191787704	1.934341912269602	2.502939920425419	2.1050319194793694	1.473202241261801	0	2	8	7	1	0	11	8	0	0	0	3	0	0	0	0		1.9513679122924792	0.9308666217327093	1.3277583449227532	2.244314804077149		1.3599539748105152	0.8967933285236354				1.6699912675221782				
sub-02	ses-004	run-3	39	1	8	12	40	20	0.575	2.2133110876758537	1.1557094945663062	1.6364379978179926	1.7005975329875964	1.7045238494873096	-0.5448880384212902	10	9	10	10	0	1	0	0	10	10	10	10	0.6	0.5	0.6	0.6	0.9068152379989625	1.3594086085425496	1.4598729391097993	0.9171111040115377	-0.45259337054358717		1.6364379978179926			0	39	0	1	2	6	2	10	2.484364497248095		1.1557094945663062		1.6364379978179926		2.351905059814456	1.48349502404531	2.0214245653152574	1.64114370632172	0	0	10	9	0	0	10	10	0	0	0	1	0	0	0	0			0.9068152379989625	1.3594086085425496			1.4598729391097993	0.9171111040115377				1.6364379978179926				
sub-02	ses-004	run-4	39	1	9	11	40	20	0.5249999999999999	2.085625331395128	1.1641627793434355	1.1661999320983938	1.7927200571695954	1.8316960707577812	-0.6285572778261599	10	10	9	10	0	0	1	0	10	10	10	10	0.55	0.55	0.45	0.55	0.9868583793640152	1.4690668468475399	1.2219662814670107	0.9845399599075331	-0.48220846748352464			1.1661999320983938		1	38	0	1	4	5	0	11	2.319343377147554	2.1523689174652105	1.1381573546560204		1.1661999320983938	-1.0142115628091901	1.8762192010879541	1.7259207420349085		1.8316960707577812	0	1	10	9	0	0	9	10	0	0	0	0	0	0	1	0		2.1523689174652105	0.9868583793640152	1.3931443945566877			1.2219662814670107	0.9845399599075331							1.1661999320983938	
sub-02	ses-004	run-5	38	2	9	11	40	20	0.49999999999999994	1.7705149738065462	1.1544918692739408	1.7492054605483958	1.5314953962961881	1.5536084868691156	-0.3770035270222474	12	6	8	12	0	2	0	0	12	8	8	12	0.55	0.3	0.55	0.55	1.0242934528986625	1.596627788543703	1.2715964543819425	0.9855526026090029	-0.5723343356450405		1.7492054605483958			1	37	0	2	1	8	0	11	1.692878574074256	1.4869758796691883	1.1455058149389339		1.7492054605483958	-0.34147006473025443	2.062655944824229	1.465100327730183		1.5536084868691156	0	0	12	6	1	0	7	12	0	0	0	2	0	0	0	0			1.0242934528986625	1.596627788543703	1.4869758796691883		1.240827965055193	0.9855526026090029				1.7492054605483958				
sub-02	ses-004	run-6	38	2	5	15	40	20	0.7	2.319343377147554	1.051545344402916	1.5282904005050675	2.003048341751094	1.8254239540100152	-0.9515029973481779	14	5	5	14	0	1	1	0	14	6	6	14	0.75	0.5833333333333334	0.5833333333333334	0.75	0.9734463862010425	1.5282103557586644	1.169148296356198	0.9174057442801359	-0.5547639695576219		1.31849195480347	1.738088846206665		2	36	1	1	1	4	0	15	2.1231727991175147	1.856237468719483	1.006840226385329	1.738088846206665	1.31849195480347	-0.8493972423341538	2.44494994163513	1.8925729417800845		1.8254239540100152	0	2	14	3	0	0	5	14	0	0	0	1	1	0	0	0		1.856237468719483	0.9734463862010425	1.3095256137847855			1.169148296356198	0.9174057442801359				1.31849195480347	1.738088846206665			
sub-02	ses-005	run-1	36	4	6	14	40	20	0.6000000000000001	1.8059520782526413	1.4683423670132965	1.8677638292312686	1.5951067829132102	1.833609260150365	-0.12676441589991372	6	12	12	6	0	2	2	0	6	14	14	6	0.7	0.5571428571428572	0.5571428571428572	0.7	1.058775455156957	1.9066108608245906	1.471780208746593	0.9944966077804539	-0.8478354056676336		1.7021900796890321	2.033337578773505		5	31	2	2	2	4	3	11	1.5970362599333834	2.4434923324585043	1.3110601145221337	1.7587395954132177	1.9767880630493195	-1.1324322179363706	1.957019100189214	1.4141506242752082	2.181531810760499	1.7387212918021469	0	4	6	8	1	0	11	6	0	1	0	1	1	0	1	0		2.5527558732032887	1.058775455156957	1.5835383546352415	2.0064381694793667		1.423174939589068	0.9944966077804539		1.885529117584241		1.5188510417938232	1.6319500732421943		2.434725084304816	
