subject	session	TrialNumber	image_path	condition	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	subcondition	repetition	run	onset	duration	response_mapping_flip_h	response_mapping_flip_v	onset_flip	offset_flip	keypresses	response	response_txt	error	response_confidence	response_time	duration_flip	ran	order	session_trial_time	atypical	atypical_log	exclude_session	delay_days	delay_seconds	trials_since_lastrep
01	ses-007	1	images_fmri/tamale/tamale_04n.jpg	unseen	7552	630	4	None	1619.0	22858.0	4.0	unseen-between	1	1	3.0	2.98	True	True	2.9832799434661865	5.950237035751343	[['x', 5.79023814201355]]	-1.0	unseen	False	False	2.79023814201355	2.966957092285156	1.0	0.0		False		False			
01	ses-007	2	images_fmri/flashbulb/flashbulb_02s.jpg	seen	2990	250	2	None	611.0	8828.0	2.0	seen-within-between	3	1	7.47	2.98	False	True	7.45066499710083	10.43547797203064	[['y', 9.905544996261597]]	-2.0	unseen	True	True	2.435544996261597	2.9848129749298096	1.0	1.0		False		False	8.0	0.0	204.0
01	ses-007	3	images_fmri/mistletoe/mistletoe_02s.jpg	seen	4826	403	2	None	1008.0	14362.0	2.0	seen-between	2	1	11.94	2.98	True	True	11.9219491481781	14.902102947235107	[['x', 14.027804136276245]]	-1.0	unseen	True	False	2.0878041362762456	2.980153799057007	1.0	2.0		False		False	8.0	0.0	212.0
01	ses-007	4	images_fmri/tag/tag_04s.jpg	unseen	7528	628	4	None	1617.0	22829.0	4.0	unseen-within	1	1	16.41	2.98	False	False	16.38828992843628	19.37105703353882	[['b', 19.108272075653076]]	-1.0	unseen	False	False	2.698272075653076	2.982767105102539	1.0	3.0		False		False			
01	ses-007	5	images_fmri/hippopotamus/hippopotamus_04s.jpg	unseen	3784	316	4	None	782.0	11187.0	4.0	unseen-between	1	1	20.88	2.98	False	True	20.868240118026733	23.837455987930294	[['x', 22.63192105293274]]	-1.0	unseen	False	False	1.7519210529327405	2.9692158699035645	1.0	4.0		False		False			
01	ses-007	6	images_fmri/trashcan/trashcan_04s.jpg	unseen	7948	663	4	None	1705.0	24049.0	4.0	unseen-between	1	1	25.35	2.98	False	False	25.340528964996334	28.301165103912357	[['b', 27.56519103050232]]	-1.0	unseen	False	False	2.215191030502318	2.960636138916016	1.0	5.0		False		False			
01	ses-007	7	images_fmri/horse/horse_02s.jpg	seen	3818	319	2	None	799.0	11422.0	2.0	seen-between	2	1	29.82	2.98	False	False	29.807242155075077	32.7854790687561	[['b', 32.647685050964355]]	-1.0	unseen	True	False	2.827685050964355	2.9782369136810303	1.0	6.0		False		False	8.0	0.0	103.0
01	ses-007	8	images_fmri/cymbal/cymbal_02s.jpg	seen	2330	195	2	None	469.0	6792.0	2.0	seen-within-between	3	1	34.29	2.98	False	False	34.26788902282715	37.25682806968689	[['b', 37.43087315559387]]	-1.0	unseen	True	False	3.140873155593873	2.988939046859741	1.0	7.0		False		False	8.0	0.0	341.0
01	ses-007	9	images_fmri/cheese/cheese_04s.jpg	unseen	1600	134	4	None	313.0	4552.0	4.0	unseen-within	1	1	38.76	2.98	True	False	38.73784303665161	41.71753215789795	[['b', 40.69586992263794]]	-1.0	unseen	False	False	1.9358699226379412	2.979689121246338	1.0	8.0		False		False			
01	ses-007	10	images_fmri/yo-yo/yo-yo_04s.jpg	unseen	8608	718	4	None	1848.0	26009.0	4.0	unseen-within	1	1	43.23	2.98	True	True	43.21746015548706	46.18676710128784	[['b', 45.842803955078125]]	2.0	seen	True	True	2.612803955078128	2.969306945800781	1.0	9.0		False		False			
01	ses-007	11	images_fmri/paint/paint_02s.jpg	seen	5246	438	2	None	1097.0	15616.0	2.0	seen-within-between	3	1	47.7	2.98	True	False	47.68408298492432	50.66748404502869	[['b', 49.54676294326782]]	-1.0	unseen	True	False	1.8467629432678196	2.98340106010437	1.0	10.0		False		False	8.0	0.0	209.0
01	ses-007	12	images_fmri/snowplow/snowplow_04s.jpg	unseen	6928	578	4	None	1485.0	21029.0	4.0	unseen-within	1	1	52.17	2.98	False	True	52.1558051109314	55.13743209838867	[['a', 55.18169713020325]]	1.0	seen	True	False	3.0116971302032454	2.9816269874572754	1.0	11.0		False		False			
01	ses-007	13	images_fmri/granola/granola_04s.jpg	unseen	3376	282	4	None	702.0	10054.0	4.0	unseen-within	1	1	56.64	2.98	False	False	56.61802315711975	59.600932121276855	[['b', 58.21183109283447]]	-1.0	unseen	False	False	1.571831092834472	2.9829089641571045	1.0	12.0		False		False			
01	ses-007	14	images_fmri/seagull/seagull_04s.jpg	unseen	6580	549	4	None	1396.0	19826.0	4.0	unseen-within	1	1	61.11	2.98	False	True	61.088074922561646	64.07098293304443	[['x', 63.74353313446045]]	-1.0	unseen	False	False	2.63353313446045	2.982908010482788	1.0	13.0		False		False			
