trial_type	image_path	onset	offset	block	task_version	category	subcategory	image_num	block_trial	duration	target	reaction_time	task
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-135.jpg	27.33950478187763	27.739817754831165	3.0	alt	faces	adult	adult-135.jpg	6.0	0.4003129729535431	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-102.jpg	27.83475458389148	28.236771927913647	3.0	alt	faces	adult	adult-102.jpg	7.0	0.4020173440221697	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-3.jpg	28.321772997966036	28.718413536902517	3.0	alt	faces	adult	adult-3.jpg	8.0	0.3966405389364809	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-120.jpg	28.822141343029212	29.221399765927345	3.0	alt	faces	adult	adult-120.jpg	9.0	0.39925842289812863	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-48.jpg	29.31862809881568	29.722898005973548	3.0	alt	faces	adult	adult-48.jpg	10.0	0.40426990715786815	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-53.jpg	29.820856555830694	30.218202778836712	3.0	alt	faces	adult	adult-53.jpg	11.0	0.39734622300602496	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-99.jpg	30.320713995955888	30.721001887926825	4.0	alt	objects	instrument	instrument-99.jpg	0.0	0.4002878919709474	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-80.jpg	30.804351230850443	31.200922950869426	4.0	alt	objects	instrument	instrument-80.jpg	1.0	0.3965717200189829	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-40.jpg	31.304391699843112	31.70498430193402	4.0	alt	objects	instrument	instrument-40.jpg	2.0	0.4005926020909101	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-42.jpg	31.80457762791775	32.204903141828254	4.0	alt	objects	instrument	instrument-42.jpg	3.0	0.4003255139105022	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-50.jpg	32.30204847990535	32.70560408104211	4.0	alt	objects	instrument	instrument-50.jpg	4.0	0.4035556011367589	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-12.jpg	32.78800087189302	33.187984589952976	4.0	alt	objects	instrument	instrument-12.jpg	5.0	0.399983718059957	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-10.jpg	33.28528728801757	33.68788227089681	4.0	alt	objects	instrument	instrument-10.jpg	6.0	0.4025949828792363	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-37.jpg	33.787685077870265	34.18832564400509	4.0	alt	objects	instrument	instrument-37.jpg	7.0	0.40064056613482535	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-97.jpg	34.287947666831315	34.68884077784605	4.0	alt	objects	instrument	instrument-97.jpg	8.0	0.4008931110147387	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-11.jpg	34.784657487878576	35.18815314490348	4.0	alt	objects	instrument	instrument-11.jpg	9.0	0.4034956570249051	False		
