subject	session	run	hit	miss	false_alarm	correct_rej	old	new	rate_hit_minus_FA	dprime	rt_hit	rt_miss	rt_FA	rt_CR	diff_rt_hit_minus_FA	hit_within	hit_between	hit_within_between	hit_between_within	miss_within	miss_between	miss_within_between	miss_between_within	old_within	old_between	old_within_between	old_between_within	rate_Hwith_min_FA	rate_Hbetw_min_FA	rate_Hwith_betw_min_FA	rate_Hbetw_with_min_FA	rt_hit_within	rt_hit_between	rt_hit_within_between	rt_hit_between_within	diff_rt_Hwith_min_Hbetw	rt_miss_within	rt_miss_between	rt_miss_within_between	rt_miss_between_within	hit_loConf	hit_hiConf	miss_loConf	miss_hiConf	FA_loConf	FA_hiConf	CR_loConf	CR_hiConf	dprime_hiConf	rt_hit_loConf	rt_hit_hiConf	rt_miss_loConf	rt_miss_hiConf	diff_rt_hitHC_minus_hitLC	rt_FA_loConf	rt_FA_hiConf	rt_CR_loConf	rt_CR_hiConf	hit_within_loConf	hit_between_loConf	hit_within_hiConf	hit_between_hiConf	hit_within_between_loConf	hit_between_within_loConf	hit_within_between_hiConf	hit_between_within_hiConf	miss_within_loConf	miss_between_loConf	miss_within_hiConf	miss_between_hiConf	miss_within_between_loConf	miss_between_within_loConf	miss_within_between_hiConf	miss_between_within_hiConf	rt_hit_within_loConf	rt_hit_between_loConf	rt_hit_within_hiConf	rt_hit_between_hiConf	rt_hit_within_between_loConf	rt_hit_between_within_loConf	rt_hit_within_between_hiConf	rt_hit_between_within_hiConf	rt_miss_within_loConf	rt_miss_between_loConf	rt_miss_within_hiConf	rt_miss_between_hiConf	rt_miss_within_between_loConf	rt_miss_between_within_loConf	rt_miss_within_between_hiConf	rt_miss_between_within_hiConf
sub-06	ses-002	run-1	30	10	6	14	40	20	0.45	1.1988902629041225	1.4413531494140654	1.9674673280715935	2.093112928072608	2.2549799442291274	-0.6517597786585427	6	6	12	6	0	8	2	0	6	14	14	6	0.7	0.12857142857142856	0.5571428571428572	0.7	1.1163432693481425	1.8791076024373474	1.5968943579991688	1.0175261592864995	-0.7627643330892049		1.931699306964875	2.1105394124984684		1	29	1	9	3	3	3	11	1.6341935155362681	2.004946975708008	1.4219188795418605	2.300181827545167	1.9304990503523076	-0.5830280961661476	2.596804606119793	1.589421250025423	2.6513736375173003	2.146872573332353	0	1	6	5	0	0	12	6	0	1	0	7	0	0	2	0		2.004946975708008	1.1163432693481425	1.8539397277832155			1.5968943579991688	1.0175261592864995		2.300181827545167		1.879058946881976			2.1105394124984684	
sub-06	ses-002	run-2	30	10	5	15	40	20	0.5	1.3489795003921634	1.4938250598907463	2.180773615837097	2.0449695434570367	2.1381125132242884	-0.5511444835662904	8	6	8	8	0	6	4	0	8	12	12	8	0.75	0.25	0.41666666666666663	0.75	1.0589227557182292	2.137238599459327	1.8489379394054417	1.091054329872133	-1.0783158437410978		1.9783286031087262	2.4844411349296536		2	28	2	8	1	4	3	12	1.3660217462809547	2.6885054349899207	1.4084907473836625	2.78800789833069	2.028965045213699	-1.2800146876062581	2.7578600502014154	1.8667469167709418	2.7704362201690835	1.9800315864880897	0	1	8	5	1	0	7	8	0	0	0	6	2	0	2	0		2.654629907608012	1.0589227557182292	2.03376033782959	2.7223809623718296		1.7241603646959578	1.091054329872133				1.9783286031087262	2.78800789833069		2.180874371528617	
sub-06	ses-002	run-3	35	5	3	17	40	20	0.725	2.1867827698697977	1.4345054659162266	2.0911893253326435	2.704706722895305	1.967986267875223	-1.2702012569790782	10	7	8	10	0	3	2	0	10	10	10	10	0.85	0.5499999999999999	0.65	0.85	1.1534051904678342	1.9862979548318103	1.7206042218208308	1.1004719944000272	-0.8328927643639761		2.032432505289719	2.1793245553970304		3	32	2	3	2	1	0	17	2.486474860524387	2.323806797663375	1.3511334660649315	2.404745111465452	1.882152134577438	-0.9726733315984437	3.121570091247559	1.8709799861907968		1.967986267875223	0	2	10	5	1	0	7	10	0	1	0	2	1	0	1	0		2.470783600807195	1.1534051904678342	1.7925036964416563	2.029853191375736		1.6764257975987016	1.1004719944000272		2.582685155868532		1.7573061800003122	2.226805067062372		2.131844043731689	
sub-06	ses-002	run-4	37	3	6	14	40	20	0.625	1.9639319836464972	1.4364707660675047	2.225837926864628	2.1414686568578087	2.238499017442981	-0.7049978907903041	10	9	8	10	0	1	2	0	10	10	10	10	0.7	0.6000000000000001	0.5	0.7	1.1466969671249372	1.9731904220581045	1.6943612480163566	1.0368844890594509	-0.8264934549331673		2.6334619426727386	2.0220259189605727		2	35	0	3	2	4	0	14	1.9919706139489222	2.9739940166473384	1.3486122946058		2.225837926864628	-1.6253817220415385	2.4329509973526005	1.9957274866104129		2.238499017442981	0	1	10	8	1	0	7	10	0	0	0	1	0	0	2	0		3.347193984985352	1.1466969671249372	1.8014399766921985	2.600794048309325		1.564870847974504	1.0368844890594509				2.6334619426727386			2.0220259189605727	
sub-06	ses-002	run-5	35	5	1	18	40	19	0.8223684210526316	2.7702056390142777	1.3795598607744495	2.846608047485353	2.7011520862579346	2.019852668444318	-1.321592225483485	12	6	5	12	0	2	3	0	12	8	8	12	0.9473684210526316	0.6973684210526316	0.5723684210526316	0.9473684210526316	1.073020954132079	1.9644973786672004	1.9265456981658922	1.1657192428906769	-0.8914764245351214		2.781951069831848	2.8897126992543556		2	33	1	4	0	1	0	18	2.5544455497117498	2.5827390336990366	1.3066399109002322	3.477415027618406	2.6889063024520894	-1.2760991227988043		2.7011520862579346		2.019852668444318	0	1	12	5	1	0	4	12	0	0	0	2	1	0	2	0		2.8369400119781503	1.073020954132079	1.7900088520050104	2.328538055419923		1.8260476088523843	1.1657192428906769				2.781951069831848	3.477415027618406		2.5958615350723306	
sub-06	ses-002	run-6	37	3	2	17	40	19	0.8197368421052632	2.6916509912036757	1.4883878310951042	2.3008622932434037	1.7229899215698268	2.13228781419642	-0.23460209047472258	14	5	4	14	0	1	2	0	14	6	6	14	0.8947368421052632	0.7280701754385965	0.5614035087719298	0.8947368421052632	1.2421767956869998	2.352170761108399	2.419616458415984	1.1600396408353524	-1.1099939654213993		2.790645923614502	2.055970478057855		2	35	0	3	0	2	1	16	2.402468900641227	3.091658487319945	1.3967723650251134		2.3008622932434037	-1.6948861222948317		1.7229899215698268	3.345811834335336	2.0564425629377374	0	2	14	3	0	0	4	14	0	0	0	1	0	0	2	0		3.091658487319945	1.2421767956869998	1.859178943634035			2.419616458415984	1.1600396408353524				2.790645923614502			2.055970478057855	
sub-06	ses-003	run-1	31	9	0	20	40	20	0.775	2.7153790109005236	1.439515462998423	2.406729814741348		1.8171051692962645		6	7	12	6	0	7	2	0	6	14	14	6	1.0	0.5	0.8571428571428571	1.0	1.1055685551961336	1.6293032033102872	1.6450956694285075	1.1408829275767023	-0.5237346481141536		2.4168094961983835	2.371450929641724		1	30	2	7	0	0	0	20	2.634453734736136	2.466192836761476	1.405292883872988	2.6439374589919993	2.338956202098305	-1.0608999528884882				1.8171051692962645	0	0	6	7	1	0	11	6	0	2	0	5	0	0	2	0			1.1055685551961336	1.6293032033102872	2.466192836761476		1.5704504723982375	1.1408829275767023		2.6439374589919993		2.3259583110809374			2.371450929641724	
sub-06	ses-003	run-2	35	5	1	19	40	20	0.825	2.7952030073274807	1.3999413234165734	2.134465143203738	2.0179818439483626	2.0218550330714216	-0.6180405205317892	8	8	11	8	0	4	1	0	8	12	12	8	0.95	0.6166666666666666	0.8666666666666666	0.95	1.108998419046399	1.7072252213954915	1.4928830658305794	1.2558054339885707	-0.5982268023490924		2.3006809592247026	1.4696018791198782		0	35	1	4	0	1	1	18	2.7952030073274807		1.3999413234165734	2.469720897674561	2.050651204586032			2.0179818439483626	2.617843971252455	1.9887445365058087	0	0	8	8	0	0	11	8	0	1	0	3	0	0	1	0			1.108998419046399	1.7072252213954915			1.4928830658305794	1.2558054339885707		2.469720897674561		2.2443343130747495			1.4696018791198782	
sub-06	ses-003	run-3	39	0	5	15	39	20	0.75	2.9060955854570065	1.5812524250226154		2.009878086090089	2.11098713429769	-0.42862566106747346	10	9	10	10	0	0	0	0	10	9	10	10	0.75	0.75	0.75	0.75	1.324189644813536	1.9414419343736538	1.857818729400634	1.2375783424377418	-0.6172522895601178					0	39	0	0	0	5	1	14	2.9060955854570065		1.5812524250226154					2.009878086090089	3.2996828174591144	2.0260802997861598	0	0	10	9	0	0	10	10	0	0	0	0	0	0	0	0			1.324189644813536	1.9414419343736538			1.857818729400634	1.2375783424377418								
sub-06	ses-003	run-4	36	4	2	18	40	20	0.8	2.5631031310892007	1.5263323794470898	2.5561608076095705	1.892626590728767	1.97671575917138	-0.36629421128167716	10	7	9	10	0	3	1	0	10	10	10	10	0.9	0.6	0.8	0.9	1.4469051933288584	1.4038279969351664	1.9656336085001587	1.2961415271759051	0.04307719639369201		2.786115036010744	1.8662981224060504		2	34	0	4	1	1	0	18	2.6812870164452627	3.0452845954894983	1.436982249091654		2.5561608076095705	-1.6083023463978443	2.685502071380625	1.0997511100769088		1.97671575917138	0	0	10	7	2	0	7	10	0	0	0	3	0	0	1	0			1.4469051933288584	1.4038279969351664	3.0452845954894983		1.657161897931776	1.2961415271759051				2.786115036010744			1.8662981224060504	
