subject	session	TrialNumber	image_path	condition	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	subcondition	repetition	run	onset	duration	response_mapping_flip_h	response_mapping_flip_v	onset_flip	offset_flip	keypresses	response	response_txt	error	response_confidence	response_time	duration_flip	ran	order	session_trial_time	atypical	atypical_log	exclude_session	delay_days	delay_seconds	trials_since_lastrep
06	ses-030	1	images_fmri/hippopotamus/hippopotamus_01b.jpg	seen	3781	316	1	None	782.0	11184.0	1.0	seen-between	2	4	3.0	2.98	True	True	3.0037703819107264	5.971057102782652	[['x', 6.227676456794143]]	-1.0	unseen	True	False	3.2276764567941427	2.9672867208719254	1.0	0.0	1974534.6865	False		False	7.0	0.0	299.0
06	ses-030	2	images_fmri/mistletoe/mistletoe_01b.jpg	unseen	4825	403	1	None	1008.0	14361.0	1.0	unseen-within	1	4	7.47	2.98	True	True	7.467806406784803	10.45087175979279	[['a', 8.934319636784494]]	-2.0	unseen	False	True	1.4643196367844942	2.983065353007987	1.0	1.0	1974539.1505	False		False			
06	ses-030	3	images_fmri/credit_card/credit_card_01b.jpg	seen	2173	182	1	None	439.0	6339.0	1.0	seen-within	2	4	11.94	2.98	True	False	11.937734779901804	14.916792005999014	[['x', 13.451901891967282]]	2.0	seen	False	True	1.5119018919672822	2.9790572260972112	1.0	2.0	1974543.6205	False		False	0.0	1009.6957000000402	150.0
06	ses-030	4	images_fmri/face/face_01b.jpg	unseen	2833	237	1	None	570.0	8244.0	1.0	unseen-between	1	4	16.41	2.98	False	False	16.40045023080893	19.384102906798944	[['y', 19.11259155580774]]	-2.0	unseen	False	True	2.70259155580774	2.9836526759900157	1.0	3.0	1974548.0832	False		False			
06	ses-030	5	images_fmri/hovercraft/hovercraft_01b.jpg	unseen	3877	324	1	None	809.0	11563.0	1.0	unseen-within	1	4	20.88	2.98	True	False	20.884466957999397	23.850355015834797	[['a', 23.298509078798816]]	-2.0	unseen	False	True	2.4185090787988166	2.9658880578354	1.0	4.0	1974552.5672	False		False			
06	ses-030	6	images_fmri/gargoyle/gargoyle_01b.jpg	unseen	3169	265	1	None	658.0	9446.0	1.0	unseen-within	1	4	25.35	2.98	False	True	25.34960395982489	28.33384083886631	[['y', 27.057413005968556]]	-2.0	unseen	False	True	1.7074130059685544	2.9842368790414184	1.0	5.0	1974557.0323	False		False			
06	ses-030	7	images_fmri/tomato/tomato_01b.jpg	seen	7789	650	1	None	1673.0	23614.0	1.0	seen-within-between	3	4	29.82	2.98	False	True	29.82100349478424	32.80035562789999	[['b', 31.851532503962517]]	2.0	seen	False	True	2.0315325039625165	2.979352133115753	1.0	6.0	1974561.5037	False		False	7.0	0.0	225.0
06	ses-030	8	images_fmri/scallion/scallion_01b.jpg	unseen	6469	540	1	None	1373.0	19499.0	1.0	unseen-between	1	4	34.29	2.98	False	False	34.282734592910856	37.26653924980201	[['y', 36.546189818996936]]	-2.0	unseen	False	True	2.256189818996937	2.9838046568911523	1.0	7.0	1974565.9655	False		False			
06	ses-030	9	images_fmri/iceskate/iceskate_01b.jpg	seen	3901	326	1	None	824.0	11776.0	1.0	seen-within-between	3	4	38.76	2.98	False	False	38.7501238079276	41.73337852582336	[['x', 40.04432709584944]]	2.0	seen	False	True	1.2843270958494415	2.983254717895761	1.0	8.0	1974570.4328	False		False	7.0	0.0	406.0
06	ses-030	10	images_fmri/lego/lego_01b.jpg	seen	4309	360	1	None	914.0	13067.0	1.0	seen-within-between	3	4	43.23	2.98	True	True	43.23334134090692	46.20018163998611	[['b', 45.090643191942945]]	2.0	seen	False	True	1.860643191942948	2.9668402990791947	1.0	9.0	1974574.9161	False		False	7.0	0.0	272.0
