subject	session	TrialNumber	image_path	condition	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	subcondition	repetition	run	onset	duration	response_mapping_flip_h	response_mapping_flip_v	onset_flip	offset_flip	keypresses	response	response_txt	error	response_confidence	response_time	duration_flip	ran	order	session_trial_time	atypical	atypical_log	exclude_session	delay_days	delay_seconds	trials_since_lastrep
06	ses-029	1	images_fmri/chicken_wire/chicken_wire_01b.jpg	seen	1669	140	1	None	323.0	4679.0	1.0	seen-between	2	4	3.0	2.98	True	True	3.003618482034653	5.970848035998642	[['a', 6.081702633062378]]	-2.0	unseen	True	True	3.0817026330623776	2.967229553963989	1.0	0.0	1369143.6946	False		False	7.0	0.0	378.0
06	ses-029	2	images_fmri/padlock/padlock_01b.jpg	unseen	5233	437	1	None	1096.0	15601.0	1.0	unseen-within	1	4	7.47	2.98	False	False	7.466601834166795	10.449768549995497	[['a', 10.309267567005008]]	1.0	seen	True	False	2.8392675670050087	2.983166715828702	1.0	1.0	1369148.1576	False		False			
06	ses-029	3	images_fmri/stiletto/stiletto_01b.jpg	seen	7237	604	1	None	1555.0	21960.0	1.0	seen-between	2	4	11.94	2.98	True	True	11.932998198084531	14.916224210057408	[['a', 13.77461148914881]]	-2.0	unseen	True	True	1.834611489148811	2.9832260119728744	1.0	2.0	1369152.6240	False		False	7.0	0.0	220.0
06	ses-029	4	images_fmri/powder/powder_01b.jpg	seen	5917	494	1	None	1237.0	17590.0	1.0	seen-between-within	3	4	16.41	2.98	False	True	16.40548075712286	19.38826538715512	[['b', 17.367949451087043]]	2.0	seen	False	True	0.9579494510870424	2.982784630032256	1.0	3.0	1369157.0965	False		False	0.0	214.71310000005178	22.0
06	ses-029	5	images_fmri/boat/boat_01b.jpg	unseen	805	68	1	None	155.0	2365.0	1.0	unseen-within	1	4	20.88	2.98	True	False	20.88721566600725	23.85241857706569	[['b', 23.60043372400105]]	-1.0	unseen	False	False	2.720433724001051	2.965202911058441	1.0	4.0	1369161.5782	False		False			
06	ses-029	6	images_fmri/sea_urchin/sea_urchin_01b.jpg	seen	6565	548	1	None	1394.0	19783.0	1.0	seen-within-between	3	4	25.35	2.98	False	False	25.34933542110957	28.33608675701544	[['b', 28.397480640094727]]	-1.0	unseen	True	False	3.047480640094726	2.986751335905865	1.0	5.0	1369166.0404	False		False	7.0	0.0	322.0
06	ses-029	7	images_fmri/paper/paper_01b.jpg	seen	5329	445	1	None	1113.0	15829.0	1.0	seen-between-within	3	4	29.82	2.98	True	True	29.819295093184337	32.7995902930852	[['b', 30.774770585121587]]	2.0	seen	False	True	0.9547705851215866	2.9802951999008656	1.0	6.0	1369170.5103	False		False	0.0	1027.8589999999385	154.0
06	ses-029	8	images_fmri/earring/earring_01b.jpg	seen	2665	223	1	None	541.0	7848.0	1.0	seen-between-within	3	4	34.29	2.98	True	True	34.28598302020691	37.26590742310509	[['b', 35.5183872662019]]	2.0	seen	False	True	1.2283872662018993	2.979924402898177	1.0	7.0	1369174.9770	False		False	0.0	165.54649999993853	11.0
06	ses-029	9	images_fmri/brace/brace_01b.jpg	seen	937	79	1	None	187.0	2826.0	1.0	seen-between	2	4	38.76	2.98	True	True	38.75404949299991	41.732451386982575	[['a', 41.38661871198565]]	-2.0	unseen	True	True	2.6266187119856497	2.978401893982664	1.0	8.0	1369179.4451	False		False	7.0	0.0	421.0
06	ses-029	10	images_fmri/sword/sword_01b.jpg	seen	7417	619	1	None	1603.0	22644.0	1.0	seen-within	2	4	43.23	2.98	False	True	43.2324397820048	46.198908157181	[['b', 44.61560024111532]]	2.0	seen	False	True	1.38560024111532	2.9664683751761918	1.0	9.0	1369183.9235	False		False	0.0	348.8249000001233	52.0
06	ses-029	11	images_fmri/elephant/elephant_01b.jpg	unseen	2761	231	1	None	555.0	8043.0	1.0	unseen-within	1	4	47.7	2.98	False	False	47.70200992701575	50.682178863091394	[['y', 50.28652917104773]]	-2.0	unseen	False	True	2.5865291710477294	2.9801689360756427	1.0	10.0	1369188.3930	False		False			
