subject	session	TrialNumber	image_path	condition	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	subcondition	repetition	run	onset	duration	response_mapping_flip_h	response_mapping_flip_v	onset_flip	offset_flip	keypresses	response	response_txt	error	response_confidence	response_time	duration_flip	ran	order	session_trial_time	atypical	atypical_log	exclude_session	delay_days	delay_seconds	trials_since_lastrep
06	ses-004	1	images_fmri/teapot/teapot_05s.jpg	unseen	7589	633	5	None	1635.0	23093.0	5.0	unseen-within	1	5	3.0	2.98	True	True	2.981823205947876	5.964415073394775	[['a', 4.860852956771851]]	-2.0	unseen	False	True	1.8608529567718504	2.9825918674468994	1.0	0.0	434751.4113398183	False		False			
06	ses-004	2	images_fmri/shield/shield_05s.jpg	unseen	6653	555	5	None	1421.0	20159.0	5.0	unseen-between	1	5	7.47	2.98	True	True	7.448606014251709	10.43100905418396	[['a', 9.060523986816406]]	-2.0	unseen	False	True	1.5905239868164065	2.982403039932251	1.0	1.0	434755.8813398183	False		False			
06	ses-004	3	images_fmri/lego/lego_05s.jpg	unseen	4313	360	5	None	914.0	13071.0	5.0	unseen-between	1	5	11.94	2.98	False	False	11.914744138717651	14.897553205490112	[['x', 13.946752071380615]]	2.0	seen	True	True	2.006752071380616	2.982809066772461	1.0	2.0	434760.3513398183	False		False			
06	ses-004	4	images_fmri/padlock/padlock_05s.jpg	unseen	5237	437	5	None	1096.0	15605.0	5.0	unseen-between	1	5	16.41	2.98	True	False	16.381498098373413	19.364706993103027	[['a', 18.779325008392334]]	-2.0	unseen	False	True	2.369325008392334	2.9832088947296143	1.0	3.0	434764.8213398183	False		False			
06	ses-004	5	images_fmri/shirt/shirt_05s.jpg	unseen	6677	557	5	None	1423.0	20184.0	5.0	unseen-within	1	5	20.88	2.98	True	True	20.864086151123047	23.831111192703247	[['a', 22.58921194076538]]	-2.0	unseen	False	True	1.709211940765382	2.9670250415802	1.0	4.0	434769.29133981833	False		False			
06	ses-004	6	images_fmri/robot/robot_05s.jpg	unseen	6329	528	5	None	1319.0	18768.0	5.0	unseen-between	1	5	25.35	2.98	True	True	25.331068992614743	28.313958168029785	[['a', 28.455244064331055]]	-2.0	unseen	False	True	3.1052440643310533	2.982889175415039	1.0	5.0	434773.7613398183	False		False			
06	ses-004	7	images_fmri/man/man_05s.jpg	seen	4565	381	5	None	964.0	13742.0	5.0	seen-between	2	5	29.82	2.98	False	False	29.7971830368042	32.78052401542664	[['x', 31.08386993408203]]	2.0	seen	False	True	1.263869934082031	2.9833409786224365	1.0	6.0	434778.23133981833	False		False	7.0	0.0	581.0
06	ses-004	8	images_fmri/bracket/bracket_05s.jpg	unseen	965	81	5	None	190.0	2881.0	5.0	unseen-between	1	5	34.29	2.98	False	False	34.26415205001831	37.2475950717926	[['y', 36.490622997283936]]	-2.0	unseen	False	True	2.2006229972839364	2.983443021774292	1.0	7.0	434782.7013398183	False		False			
06	ses-004	9	images_fmri/thermometer/thermometer_05s.jpg	unseen	7637	637	5	None	1647.0	23257.0	5.0	unseen-within	1	5	38.76	2.98	False	True	38.7306911945343	41.71504020690918	[['y', 40.9724760055542]]	-2.0	unseen	False	True	2.212476005554201	2.984349012374878	1.0	8.0	434787.17133981833	False		False			
06	ses-004	10	images_fmri/artichoke/artichoke_05n.jpg	seen	209	18	5	None	40.0	557.0	5.0	seen-within-between	3	5	43.23	2.98	False	True	43.21564698219299	46.18679618835449	[['y', 46.084447145462036]]	-2.0	unseen	True	True	2.8544471454620397	2.971149206161499	1.0	9.0	434791.6413398183	False		False	7.0	0.0	501.0
06	ses-004	11	images_fmri/spider/spider_05s.jpg	seen	7061	589	5	None	1514.0	21409.0	5.0	seen-within	2	5	47.7	2.98	True	False	47.68203902244568	50.66531610488892	[['x', 48.684646129608154]]	2.0	seen	False	True	0.9846461296081516	2.9832770824432373	1.0	10.0	434796.11133981834	False		False	0.0	383.41736580000725	62.0
06	ses-004	12	images_fmri/tractor/tractor_05n.jpg	seen	7913	660	5	None	1696.0	23927.0	5.0	seen-between-within	3	5	52.17	2.98	False	False	52.14919519424439	55.13133716583252	[['x', 53.88739013671875]]	2.0	seen	False	True	1.7173901367187483	2.9821419715881348	1.0	11.0	434800.5813398183	False		False	0.0	766.4043660000316	103.0
06	ses-004	13	images_fmri/chin/chin_05s.jpg	seen	1697	142	5	None	331.0	4786.0	5.0	seen-within	2	5	56.64	2.98	True	True	56.61593198776245	59.59772610664368	[['b', 58.648951053619385]]	2.0	seen	False	True	2.008951053619384	2.9817941188812256	1.0	12.0	434805.05133981834	False		False	0.0	1606.81920300005	243.0
06	ses-004	14	images_fmri/pocketknife/pocketknife_05s.jpg	unseen	5765	481	5	None	1208.0	17167.0	5.0	unseen-between	1	5	61.11	2.98	True	True	61.09734416007996	64.06646704673767	[['a', 64.11167097091675]]	-2.0	unseen	False	True	3.0016709709167486	2.969122886657715	1.0	13.0	434809.5213398183	False		False			
06	ses-004	15	images_fmri/croissant/croissant_05s.jpg	seen	2201	184	5	None	443.0	6410.0	5.0	seen-within-between	3	5	65.58	2.98	False	True	65.5645751953125	68.5473370552063	[['b', 66.94724106788635]]	2.0	seen	False	True	1.3672410678863542	2.982761859893799	1.0	14.0	434813.99133981834	False		False	7.0	0.0	528.0
06	ses-004	16	images_fmri/wire/wire_05s.jpg	seen	8513	710	5	None	1829.0	25760.0	5.0	seen-between-within	3	5	70.05	2.98	True	False	70.03357005119324	73.01403307914734	[['x', 71.49395608901978]]	2.0	seen	False	True	1.4439560890197782	2.9804630279541016	1.0	15.0	434818.4613398183	False		False	0.0	365.5373658000026	58.0
06	ses-004	17	images_fmri/knife/knife_05s.jpg	seen	4157	347	5	None	880.0	12595.0	5.0	seen-within	2	5	74.52	2.98	True	False	74.49821209907532	77.48283410072327							2.984622001647949	1.0	16.0	434822.93133981834	False		False	0.0	271.66736580000725	37.0
