subject	session	TrialNumber	image_path	condition	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	subcondition	repetition	run	onset	duration	response_mapping_flip_h	response_mapping_flip_v	onset_flip	offset_flip	keypresses	response	response_txt	error	response_confidence	response_time	duration_flip	ran	order	session_trial_time	atypical	atypical_log	exclude_session	delay_days	delay_seconds	trials_since_lastrep
02	ses-007	1	images_fmri/egg/egg_03s.jpg	seen	2703	226	3	None	547.0	7937.0	3.0	seen-within-between	3	3	3.0	2.98	True	False	2.9875969886779785	5.965705871582031	[['y', 5.191900014877319]]	1.0	seen	False	False	2.19190001487732	2.9781088829040527	1.0	0.0	1622042283.0296	False		False	7.0	0.0	124.0
02	ses-007	2	images_fmri/mirror/mirror_05s.jpg	unseen	4805	401	5	None	1006.0	14336.0	5.0	unseen-between	1	3	7.47	2.98	True	True	7.452877998352051	10.434064865112305	[['y', 10.097261905670166]]	1.0	seen	True	False	2.6272619056701663	2.981186866760254	1.0	1.0	1622042287.4949	False		False			
02	ses-007	3	images_fmri/pogo_stick/pogo_stick_05s.jpg	unseen	5777	482	5	None	1209.0	17181.0	5.0	unseen-between	1	3	11.94	2.98	False	False	11.93555188179016	14.902050971984863	[['x', 14.034070014953613]]	2.0	seen	True	True	2.094070014953614	2.966499090194702	1.0	2.0	1622042291.9775	False		False			
02	ses-007	4	images_fmri/yo-yo/yo-yo_05s.jpg	unseen	8609	718	5	None	1848.0	26010.0	5.0	unseen-within	1	3	16.41	2.98	True	False	16.401978969573975	19.38228988647461	[['b', 18.479910850524902]]	-1.0	unseen	False	False	2.069910850524902	2.9803109169006348	1.0	3.0	1622042296.4440	False		False			
02	ses-007	5	images_fmri/railing/railing_05s.jpg	seen	6125	511	5	None	1278.0	18201.0	5.0	seen-within	2	3	20.88	2.98	False	True	20.87088394165039	23.85017991065979	[['b', 21.80899691581726]]	2.0	seen	False	True	0.9289969158172616	2.9792959690093994	1.0	4.0	1622042300.9129	False		False	0.0	209.24799990653992	25.0
02	ses-007	6	images_fmri/fireworks/fireworks_03s.jpg	seen	2955	247	3	None	599.0	8652.0	3.0	seen-between	2	3	25.35	2.98	False	True	25.33618688583374	28.3147029876709	[['b', 27.49419593811035]]	2.0	seen	False	True	2.14419593811035	2.978516101837158	1.0	5.0	1622042305.3782	False		False	7.0	0.0	394.0
02	ses-007	7	images_fmri/milkshake/milkshake_05s.jpg	unseen	4793	400	5	None	1003.0	14285.0	5.0	unseen-within	1	3	29.82	2.98	True	False	29.80355191230774	32.78442692756653	[['b', 32.07390594482422]]	-1.0	unseen	False	False	2.2539059448242185	2.980875015258789	1.0	6.0	1622042309.8455	False		False			
02	ses-007	8	images_fmri/airplane/airplane_05n.jpg	unseen	41	4	5	None	11.0	154.0	5.0	unseen-within	1	3	34.29	2.98	False	True	34.282334089279175	37.2646849155426	[['a', 36.8722038269043]]	1.0	seen	True	False	2.5822038269042977	2.982350826263428	1.0	7.0	1622042314.3243	False		False			
02	ses-007	9	images_fmri/fireworks/fireworks_03s.jpg	seen	2955	247	3	None	599.0	8652.0	3.0	seen-between-within	3	3	38.76	2.98	False	False	38.75211691856384	41.73552894592285	[['x', 39.749003887176514]]	2.0	seen	False	True	0.9890038871765156	2.983412027359009	1.0	8.0	1622042318.7941	False		False	0.0	13.415899991989136	3.0
02	ses-007	10	images_fmri/worm/worm_05n.jpg	unseen	8573	715	5	None	1837.0	25863.0	5.0	unseen-within	1	3	43.23	2.98	False	False	43.22012686729431	46.19809007644653	[['y', 45.08903098106384]]	-2.0	unseen	False	True	1.859030981063846	2.9779632091522217	1.0	9.0	1622042323.2621	False		False			
