subject	session	hit	miss	false_alarm	correct_rej	old	new	rate_hit_minus_FA	dprime	rt_hit	rt_miss	rt_FA	rt_CR	diff_rt_hit_minus_FA	hit_within	hit_between	hit_within_between	hit_between_within	miss_within	miss_between	miss_within_between	miss_between_within	old_within	old_between	old_within_between	old_between_within	rate_Hwith_min_FA	rate_Hbetw_min_FA	rate_Hwith_betw_min_FA	rate_Hbetw_with_min_FA	rt_hit_within	rt_hit_between	rt_hit_within_between	rt_hit_between_within	diff_rt_Hwith_min_Hbetw	rt_miss_within	rt_miss_between	rt_miss_within_between	rt_miss_between_within	hit_loConf	hit_hiConf	miss_loConf	miss_hiConf	FA_loConf	FA_hiConf	CR_loConf	CR_hiConf	dprime_hiConf	rt_hit_loConf	rt_hit_hiConf	rt_miss_loConf	rt_miss_hiConf	diff_rt_hitHC_minus_hitLC	rt_FA_loConf	rt_FA_hiConf	rt_CR_loConf	rt_CR_hiConf	hit_within_loConf	hit_between_loConf	hit_within_hiConf	hit_between_hiConf	hit_within_between_loConf	hit_between_within_loConf	hit_within_between_hiConf	hit_between_within_hiConf	miss_within_loConf	miss_between_loConf	miss_within_hiConf	miss_between_hiConf	miss_within_between_loConf	miss_between_within_loConf	miss_within_between_hiConf	miss_between_within_hiConf	rt_hit_within_loConf	rt_hit_between_loConf	rt_hit_within_hiConf	rt_hit_between_hiConf	rt_hit_within_between_loConf	rt_hit_between_within_loConf	rt_hit_within_between_hiConf	rt_hit_between_within_hiConf	rt_miss_within_loConf	rt_miss_between_loConf	rt_miss_within_hiConf	rt_miss_between_hiConf	rt_miss_within_between_loConf	rt_miss_between_within_loConf	rt_miss_within_between_hiConf	rt_miss_between_within_hiConf
sub-03	ses-001	57	3	4	116	60	120	0.9166666666666666	3.478768262767387	1.272662575872322	1.7323820018768288	1.84950335264206	1.1964745910414347	-0.5768407767697379	57	0	0	0	3	0	0	0	60	0	0	0	0.9166666666666666				1.272662575872322					1.7323820018768288				8	49	2	1	3	1	0	116	3.2967145914623743	1.779982993602757	1.1898347525693942	1.9555430555343631	1.2860598945617596	-0.5901482410333627	1.9244961929321296	1.6245248317718506		1.1964745910414347	8	0	49	0	0	0	0	0	2	0	1	0	0	0	0	0	1.779982993602757		1.1898347525693942						1.9555430555343631		1.2860598945617596					
sub-03	ses-002	163	77	5	115	240	120	0.6375000000000001	2.1970341829266005	1.366391779893747	1.5605615965112465	1.9250840511322047	1.4495817856995985	-0.5586922712384577	54	13	38	58	6	47	22	2	60	60	60	60	0.8583333333333334	0.17500000000000002	0.5916666666666667	0.925	1.112961751266763	1.9388367630885266	1.8493706680599002	1.1576027973766987	-0.8258750118217635	1.4309751558303805	1.581891947807151	1.4900191502137607	2.2240245723724357	34	129	17	60	5	0	10	105	2.7323946878002863	1.9924868535995515	1.2013744736457057	1.9437423509709988	1.4519937160809835	-0.7911123799538458	1.9250840511322047		1.9089410343170203	1.4058332858312723	2	9	52	4	21	2	17	56	0	14	6	33	3	0	19	2	1.8180090856552198	2.1605008930630243	1.0858445460979764	1.4400924706459075	2.002586603618804	1.3048540687561054	1.6601039241341962	1.1523438233988625		1.8980412251608736	1.4309751558303805	1.4477680119601173	2.1570142714182503		1.3847041310762096	2.2240245723724357
sub-03	ses-003	156	84	5	115	240	120	0.6083333333333334	2.116984862529813	1.282611045409472	1.5275923198745394	1.9969361381530804	1.4231269590958318	-0.7143250927436084	59	12	28	57	1	48	32	3	60	60	60	60	0.9416666666666667	0.15833333333333335	0.425	0.9083333333333333	1.2203375509229772	1.5945386878649348	1.6027542168753506	1.1241372851321565	-0.37420113694195756	1.0200490856170743	1.481665650407477	1.6269371047616021	1.3719224039713538	39	117	26	58	4	1	22	93	2.362641817797083	1.7318000539143885	1.132881375907833	1.8885961143787118	1.3657630326830137	-0.5989186780065554	2.2553066444397025	0.9634541130065912	1.710885582837195	1.355055026597875	8	8	51	4	20	3	8	54	0	11	1	37	14	1	18	2	1.791648530960087	1.761604055166237	1.130720142289705	1.2604079532623302	1.700305658340456	1.7026894156138137	1.3588756132125872	1.0919955001053978		1.899325393329972	1.0200490856170743	1.3574965376467354	1.8807042591912426	1.881060018539415	1.4295626513163262	1.1173535966873231
sub-03	ses-004	172	58	11	104	230	115	0.6521739130434783	1.974394651310455	1.3324237176429408	1.8424824469665002	1.7655550497228425	1.6127573787249074	-0.43313133207990173	55	25	38	54	2	33	20	3	57	58	58	57	0.8692601067887109	0.3353823088455772	0.5595202398800599	0.851716247139588	1.0673587375987679	1.8671952129364053	1.7350397343384605	1.071495530340407	-0.7998364753376375	1.5920976781845013	1.760979515422474	2.056177822113038	1.4813020388285334	45	127	32	26	6	5	55	49	1.8428309629260657	1.934235731760663	1.1191832401996535	1.9387813094258313	1.7239607700934771	-0.8150524915610096	1.9686743609110475	1.5218118762969965	1.6987852954864526	1.5161954313394994	4	18	51	7	21	2	17	52	1	15	1	18	14	2	6	1	1.69157628297806	1.9621167649163194	1.01840049874549	1.6231112221309123	1.9158524663107734	2.361649618148803	1.5116828301373681	1.0218742192708532	1.2692712020873955	1.854171295801799	1.9149241542816071	1.6833196984397034	2.1070288024629873	1.730379014015199	1.9375255346298228	0.9831480884552022
sub-03	ses-005	158	81	9	111	239	120	0.5860878661087866	1.8549654073141573	1.27388660877566	1.9030303660734214	1.9877202288309717	1.6826276734498178	-0.7138336200553117	55	14	31	58	5	46	29	1	60	60	60	59	0.8416666666666667	0.15833333333333333	0.4416666666666667	0.9080508474576272	1.1080012085654538	1.9710098164422178	1.8509690573907682	0.954479991485335	-0.863008607876764	1.9029918231964131	1.8172674048465238	2.031997480063606	2.1082729911803995	35	123	53	28	7	2	52	59	2.164761427348699	1.9605539093017594	1.078493474479615	1.9586093702856118	1.7978272509574895	-0.8820604348221444	2.09545486313956	1.6106490087509115	1.7505553019963793	1.6227592550697976	3	11	52	3	21	0	10	58	3	26	2	20	23	1	6	0	1.5866740576426155	1.98974693558433	1.0803854672725406	1.9023070462544733	1.9986737314860048		1.5407892417907714	0.954479991485335	1.9068740081787137	1.8810453029779295	1.8971685457229626	1.7343561372756962	2.046531466608466	2.1082729911803995	1.9762838649749759	
sub-03	ses-006	181	59	10	110	240	120	0.6708333333333333	2.070654520996605	1.3138140787472397	1.7295869523387846	1.910021103858955	1.6650444075844515	-0.5962070251117153	57	21	44	59	3	39	16	1	60	60	60	60	0.8666666666666666	0.26666666666666666	0.6499999999999999	0.8999999999999999	1.0783880799276835	1.8122604356493266	1.640229899016294	1.1204176778308412	-0.7338723557216431	1.475611302057904	1.758676785200069	1.7323484718799622	1.3128261089324835	46	135	54	5	7	3	95	15	2.117274669150225	1.8463928148020876	1.1323428057211435	1.7306782854927911	1.717800554275516	-0.7140500090809441	2.0460194138118277	1.592691713968918	1.6880969717126155	1.5190448347727472	2	17	55	4	25	2	19	57	3	34	0	5	16	1	0	0	1.7206689882278479	1.86149047907661	1.0550324105349502	1.6030327510833722	1.825307285308839	2.107355613708492	1.396707022315577	1.0857882765719764	1.475611302057904	1.7646879956301504		1.717800554275516	1.7323484718799622	1.3128261089324835		
sub-03	ses-007	178	62	27	93	240	120	0.5166666666666667	1.4039072069533267	1.2819176457437245	1.657664640488164	1.7337325774298817	1.763277624191778	-0.4518149316861573	59	25	35	59	1	35	25	1	60	60	60	60	0.7583333333333333	0.19166666666666668	0.3583333333333334	0.7583333333333333	0.98229223170523	1.8858038570404065	1.75743702180045	1.0435713064872623	-0.9035116253351766	0.1426980113983234	1.6494619222368516	1.751203255844117	1.1212610244751031	34	144	47	15	18	9	72	21	1.692878574074256	2.0232674893210922	1.1068767104546238	1.6525373124061755	1.673730268478395	-0.9163907788664685	1.910058478249448	1.3810807757907497	1.7542607065041873	1.7941927705492318	1	15	58	10	17	1	18	58	1	24	0	11	21	1	4	0	1.6413029670715389	1.9908365599314393	0.9709299776471901	1.7282548027038573	2.047478135613833	2.480114965438844	1.4835093031989215	1.0188033123674074	0.1426980113983234	1.659393509626388		1.627793004296045	1.741897638865881	1.1212610244751031	1.800057744979858	
sub-03	ses-008	189	51	14	106	240	120	0.6708333333333333	1.9895930178066328	1.2534902778504398	1.9515392957949174	1.919456651551384	1.796738418813024	-0.6659663737009442	58	28	43	60	2	32	17	0	60	60	60	60	0.85	0.35	0.6	0.8833333333333333	0.9981299388819745	1.6846359678677156	1.7116617601971307	0.9707810544967654	-0.6865060289857411	1.537524018287655	1.9211517649889016	2.0574470334894484		36	153	33	18	10	4	52	54	2.185698980751071	1.8194958954387255	1.1203124854767252	2.050975409132061	1.7692397546768204	-0.6991834099620002	2.1235833234787016	1.4091399717330901	1.9015478466107327	1.6958108216744898	1	13	57	15	22	0	21	60	1	19	1	13	13	0	4	0	0.0986910438537602	1.8022330790299639	1.0139095686193116	1.5827184715271008	1.9079150529341289		1.5060630725678945	0.9707810544967654	2.255667018890392	1.995231247450177	0.8193810176849183	1.8128817521608838	2.1167021369934043		1.8648679471015903	
sub-03	ses-009	179	61	31	89	240	120	0.4875	1.3099272634994186	1.20628036413779	1.9340793722183975	1.8549078415286184	1.758388445243407	-0.6486274773908285	59	24	38	58	1	36	22	2	60	60	60	60	0.7249999999999999	0.14166666666666666	0.37499999999999994	0.7083333333333333	0.9775145537166297	1.6572532109419529	1.6041924205579263	0.9916799563375033	-0.6797386572253232	2.015689020156856	1.8830154524909117	1.9608109638907698	2.518377594947818	21	158	39	22	19	12	42	47	1.689470306489635	1.8812279301597954	1.116572143337397	2.097147913712721	1.6450033213875515	-0.7646557868223984	1.9278091626418294	1.7394807497660338	1.8906964015960706	1.6401558033963464	0	10	59	14	11	0	27	58	1	25	0	11	11	2	11	0		1.881702515602114	0.9775145537166297	1.4969322790418378	1.8807964888485968		1.491501874217283	0.9916799563375033	2.015689020156856	1.9994156887054442		1.6184694610942474	2.250084746100684	2.518377594947818	1.6715371816808555	
sub-03	ses-010	178	61	27	93	239	120	0.5197698744769874	1.413536231418456	1.258051597830956	1.9411594615998824	1.777583094702826	1.8825086788464636	-0.5195314968718698	57	25	38	58	3	35	21	2	60	60	59	60	0.725	0.19166666666666668	0.41906779661016946	0.7416666666666667	1.0787142972778874	1.58539189605713	1.6325772717124567	1.0478230300442926	-0.5066775987792427	1.7449732685089145	1.8759294441768117	1.9672459470658075	3.1030559587478592	33	145	38	23	10	17	36	57	1.3435755102102358	1.7809981987693118	1.1390361645139508	1.9790071685690627	1.8786284674768894	-0.6419620342553609	2.22578649520874	1.5139340355817001	1.9208858741654333	1.8582704502239564	1	10	56	15	21	1	17	57	1	21	2	14	14	2	7	0	1.7501721096038807	1.8036659402847335	1.0667239792006376	1.4398758665720615	1.7571574796949139	2.085801973342882	1.47868407361648	1.0296128731443173	0.7347938632965167	1.9885898689996628	2.2500629711151134	1.706938806942535	1.8929270982742303	3.1030559587478592	2.1158836446489624	
