session	run	framewise_displacement	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
01	1		0.0	0.0	0.0217015	0.0	-0.0	0.0
01	1	0.0028507	0.0	0.0	0.0245522	0.0	-0.0	0.0
01	1	0.0010524	0.0	0.0	0.0256046	0.0	-0.0	0.0
01	1	0.0002169	0.0	0.0	0.0253877	0.0	-0.0	0.0
01	1	0.0081614	0.0	0.0	0.0335491	0.0	-0.0	0.0
01	1	0.0021059	0.0	0.0	0.0314432	0.0	-0.0	0.0
01	1	0.0177720299999999	0.0	0.00266246	0.019603	-6.53874e-05	-0.0	0.0
01	1	0.00866903	0.0	0.0	0.0223402	0.0	-0.0	0.0
01	1	0.005612	0.0	0.0	0.0167281999999999	0.0	-0.0	0.0
01	1	0.0011917	0.0	0.0	0.0179199	0.0	-0.0	0.0
01	1	0.0131142	0.0	0.0	0.0310341	0.0	-0.0	0.0
01	1	0.0950142	0.0	-0.040598	0.0116168	-0.000699978	-0.0	0.0
01	1	0.0684095399999999	0.0	0.00481449	0.0076669	-0.000319035	-0.0	0.0
01	1	0.0087259299999999	0.0	0.00477686	0.00847775	-0.000161486	-0.0	0.0
01	1	0.0074163499999999	0.0	0.00475702	0.00501825	-8.274579999999997e-05	-0.0	0.0
01	1	9.370999999999977e-05	0.0	0.00475617	0.00505295	-8.158260000000001e-05	-0.0	0.0
01	1	0.023521771	0.0	0.0006676589999999	0.0244142	-8.01424e-05	-0.0	0.0
01	1	0.0627401121	-7.913309999999997e-05	-0.0255861	0.0191162	-0.000635322	-0.0	-6.70048e-05
01	1	0.0496581531	0.0	-0.00214442	0.012302	-0.000315864	-0.0	0.0
01	1	0.03489982	0.0	0.010952	0.0339494	-0.000312744	-0.0	0.0
01	1	0.02056181	0.0	0.0083467899999999	0.0249224	-0.000491336	-0.0	0.0
01	1	0.01178259	0.0	0.00958173	0.0162800999999999	-0.000453229	-0.0	0.0
01	1	0.04202073	0.0	-0.0197023	0.0166076	-0.000701413	-0.0	0.0
01	1	0.02671172	0.0	-0.00081198	0.0220069	-0.000749855	-0.0	0.0
01	1	0.0387634886716	-5.86716e-08	0.023169	0.0318676	-0.00065142	-0.0	0.0
01	1	0.0191689586716	0.0	0.0116023	0.0251192	-0.000668496	-0.0	0.0
01	1	0.019390906	0.0	-9.2306e-05	0.0234399	-0.000548156	-0.0	0.0
01	1	0.120720394	0.0	-0.0727128999999999	0.0150298	-0.00134195	-0.0	0.0
01	1	0.0832074788708999	-4.88709e-08	-0.00392637	0.0200052	-0.00115304	-0.0	0.0
01	1	0.0445113188708999	0.0	0.0207451	0.03779	-0.00111194	-0.0	0.0
01	1	0.0276292	0.0	0.0123195	0.029279	-0.000898088	-0.0	0.0
01	1	0.01123146	0.0	0.00706649	0.0308645	-0.000810229	-0.0	0.0
01	1	0.03632591	-0.00615076	-0.0079153599999999	0.0293245	-0.0008811569999999	-0.0	-0.000202138
01	1	0.0779386799999999	-0.0145088	-0.0433328	0.0297141	-0.00107317	1.48665e-22	-0.0006855969999999
01	1	0.0577546	-0.00921843	-0.00817442	0.0290668	-0.00105069	-5.293960000000001e-23	-0.000374906
01	1	0.0533561499999999	-0.00311945	0.0100767	0.0387859	-0.000908822	-0.0	-0.000131035
01	1	0.03029846	-0.00824416	0.00149515	0.0317055	-0.0007614339999999	-0.0	-0.000173883
01	1	0.0357991099999999	-0.0137261	-0.0077910699999999	0.0275519	-0.000921745	-0.0	-0.000351119
01	1	0.14020713	-0.0237562	-0.0713051	0.0220554	-0.00165123	-0.0	-0.0008449639999999
01	1	0.08975665	-0.0192424	-0.028729	0.021413	-0.00130069	0.000365034	-0.000720051
01	1	0.10193076	-0.0138352	0.00684005	0.0397469	-0.00114775	6.81668e-05	-0.000317446
