trial_type	image_path	onset	offset	block	task_version	category	subcategory	image_num	block_trial	duration	target
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-124.jpg	6.4676329649519175	6.869122687028722	0	alt	characters	word	word-124.jpg	0.0	0.40148972207680345	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-30.jpg	6.9680747468955815	7.3689025070052585	0	alt	characters	word	word-30.jpg	1.0	0.4008277601096779	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-137.jpg	7.46863046498038	7.8686752908397475	0	alt	characters	word	word-137.jpg	2.0	0.4000448258593679	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-102.jpg	7.967997221974657	8.369068755069748	0	alt	characters	word	word-102.jpg	3.0	0.4010715330950916	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-72.jpg	8.451522542862222	8.852103007026018	0	alt	characters	word	word-72.jpg	4.0	0.4005804641637951	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-36.jpg	8.950891732005402	9.352517633931713	0	alt	characters	word	word-36.jpg	5.0	0.4016259019263089	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-66.jpg	9.451510693877935	9.852059507044032	0	alt	characters	word	word-66.jpg	6.0	0.4005488131660968	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-135.jpg	9.95194010506384	10.352010827045886	0	alt	characters	word	word-135.jpg	7.0	0.40007072198204696	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-89.jpg	10.434193986933677	10.834197900025174	0	alt	characters	word	word-89.jpg	8.0	0.4000039130914956	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-10.jpg	10.93422274803743	11.335372393019496	0	alt	characters	word	word-10.jpg	9.0	0.4011496449820697	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-2.jpg	11.435401988914235	11.835494342027232	0	alt	characters	word	word-2.jpg	10.0	0.4000923531129956	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-47.jpg	11.935306936036794	12.335375401889904	0	alt	characters	word	word-47.jpg	11.0	0.40006846585311	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-48.jpg	12.434750586980956	12.834983513923364	1	alt	objects	instrument	instrument-48.jpg	0.0	0.4002329269424081	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-16.jpg	12.935162664856763	13.334923506947234	1	alt	objects	instrument	instrument-16.jpg	1.0	0.3997608420904726	False
