subject	session	TrialNumber	image_path	condition	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	subcondition	repetition	run	onset	duration	response_mapping_flip_h	response_mapping_flip_v	onset_flip	offset_flip	keypresses	response	response_txt	error	response_confidence	response_time	duration_flip	ran	order	session_trial_time	atypical	atypical_log	exclude_session	delay_days	delay_seconds	trials_since_lastrep
06	ses-015	1	images_fmri/eggplant/eggplant_04s.jpg	seen	2740	229	4	None	551.0	7994.0	4.0	seen-within-between	3	1	3.0	2.98	True	True	2.999667167663574	5.966141223907471	[['a', 5.723627090454102]]	-2.0	unseen	True	True	2.7236270904541016	2.9664740562438965	1.0	0.0	1628104975.4527	False		False	14.0	0.0	152.0
06	ses-015	2	images_fmri/shaving_cream/shaving_cream_04s.jpg	unseen	6616	552	4	None	1411.0	20027.0	4.0	unseen-between	1	1	7.47	2.98	True	True	7.466220140457153	10.449496030807495	[['a', 9.335532188415527]]	-2.0	unseen	False	True	1.865532188415528	2.983275890350342	1.0	1.0	1628104979.9192	False		False			
06	ses-015	3	images_fmri/sink/sink_04s.jpg	seen	6796	567	4	None	1448.0	20532.0	4.0	seen-between	2	1	11.94	2.98	False	False	11.932887077331545	14.91602611541748	[['y', 14.437867164611816]]	-2.0	unseen	True	True	2.497867164611817	2.983139038085937	1.0	2.0	1628104984.3859	False		False	14.0	0.0	67.0
06	ses-015	4	images_fmri/dolly/dolly_04s.jpg	unseen	2488	208	4	None	502.0	7251.0	4.0	unseen-between	1	1	16.41	2.98	False	True	16.4000301361084	19.384719133377075	[['y', 17.842751026153564]]	-2.0	unseen	False	True	1.4327510261535643	2.9846889972686768	1.0	3.0	1628104988.8530	False		False			
06	ses-015	5	images_fmri/lightbulb/lightbulb_04s.jpg	seen	4384	366	4	None	928.0	13252.0	4.0	seen-within-between	3	1	20.88	2.98	True	True	20.874760150909424	23.851704120635983	[['a', 22.716515064239502]]	-2.0	unseen	True	True	1.836515064239503	2.9769439697265625	1.0	4.0	1628104993.3278	False		False	14.0	0.0	10.0
06	ses-015	6	images_fmri/valve/valve_04s.jpg	unseen	8164	681	4	None	1752.0	24688.0	4.0	unseen-within	1	1	25.35	2.98	True	False	25.35392713546753	28.31745719909668	[['a', 26.862824201583862]]	-2.0	unseen	False	True	1.5128242015838609	2.9635300636291504	1.0	5.0	1628104997.8069	False		False			
06	ses-015	7	images_fmri/hatbox/hatbox_04s.jpg	seen	3664	306	4	None	759.0	10863.0	4.0	seen-within-between	3	1	29.82	2.98	True	False	29.817418098449707	32.801048040390015	[['a', 32.15953302383423]]	-2.0	unseen	True	True	2.339533023834228	2.983629941940308	1.0	6.0	1628105002.2704	False		False	14.0	0.0	282.0
06	ses-015	8	images_fmri/sushi/sushi_04s.jpg	seen	7384	616	4	None	1589.0	22439.0	4.0	seen-between	2	1	34.29	2.98	False	True	34.28591108322144	37.2689061164856	[['y', 36.04053211212158]]	-2.0	unseen	True	True	1.7505321121215829	2.98299503326416	1.0	7.0	1628105006.7389	False		False	14.0	0.0	11.0
06	ses-015	9	images_fmri/gun/gun_04s.jpg	unseen	3544	296	4	None	728.0	10439.0	4.0	unseen-within	1	1	38.76	2.98	True	False	38.75489521026611	41.7349112033844	[['a', 40.25850701332092]]	-2.0	unseen	False	True	1.4985070133209248	2.980015993118286	1.0	8.0	1628105011.2079	False		False			
06	ses-015	10	images_fmri/hedge/hedge_04s.jpg	seen	3712	310	4	None	774.0	11074.0	4.0	seen-between	2	1	43.23	2.98	False	True	43.21871709823608	46.20142412185669	[['y', 44.57319903373718]]	-2.0	unseen	True	True	1.3431990337371855	2.982707023620605	1.0	9.0	1628105015.6717	False		False	14.0	0.0	120.0
06	ses-015	11	images_fmri/goat/goat_04s.jpg	seen	3304	276	4	None	685.0	9805.0	4.0	seen-between	2	1	47.7	2.98	False	True	47.70422101020813	50.66739320755005	[['y', 49.92666411399841]]	-2.0	unseen	True	True	2.2266641139984102	2.963172197341919	1.0	10.0	1628105020.1572	False		False	14.0	0.0	291.0
06	ses-015	12	images_fmri/racket/racket_04s.jpg	unseen	6076	507	4	None	1271.0	18106.0	4.0	unseen-between	1	1	52.17	2.98	False	False	52.16804003715515	55.15127420425415	[['y', 53.6435170173645]]	-2.0	unseen	False	True	1.4735170173645002	2.983234167098999	1.0	11.0	1628105024.6210	False		False			
06	ses-015	13	images_fmri/stiletto/stiletto_04s.jpg	unseen	7240	604	4	None	1555.0	21963.0	4.0	unseen-within	1	1	56.64	2.98	True	True	56.6366651058197	59.617669105529785	[['a', 58.66533708572388]]	-2.0	unseen	False	True	2.0253370857238764	2.981003999710083	1.0	12.0	1628105029.0897	False		False			
06	ses-015	14	images_fmri/beaver/beaver_04s.jpg	unseen	508	43	4	None	108.0	1631.0	4.0	unseen-within	1	1	61.11	2.98	False	True	61.099876165390015	64.08336520195007	[['y', 62.863561153411865]]	-2.0	unseen	False	True	1.7535611534118658	2.9834890365600586	1.0	13.0	1628105033.5529	False		False			
06	ses-015	15	images_fmri/zebra/zebra_04s.jpg	seen	8620	719	4	None	1852.0	26066.0	4.0	seen-within-between	3	1	65.58	2.98	False	True	65.56758904457092	68.55021905899048	[['x', 67.3752121925354]]	-1.0	unseen	True	False	1.795212192535402	2.982630014419556	1.0	14.0	1628105038.0206	False		False	14.0	0.0	128.0
06	ses-015	16	images_fmri/okra/okra_04s.jpg	seen	5152	430	4	None	1075.0	15284.0	4.0	seen-between	2	1	70.05	2.98	False	False	70.05579900741577	73.01648902893066	[['b', 72.08567714691162]]	-1.0	unseen	True	False	2.035677146911624	2.9606900215148926	1.0	15.0	1628105042.5088	False		False	14.0	0.0	31.0
06	ses-015	17	images_fmri/rocking_chair/rocking_chair_04s.jpg	seen	6340	529	4	None	1322.0	18811.0	4.0	seen-within-between	3	1	74.52	2.98	True	True	74.52283811569214	77.50086402893066	[['a', 76.38547015190125]]	-2.0	unseen	True	True	1.865470151901249	2.9780259132385254	1.0	16.0	1628105046.9758	False		False	14.0	0.0	155.0
06	ses-015	18	images_fmri/woman/woman_04s.jpg	unseen	8548	713	4	None	1833.0	25810.0	4.0	unseen-within	1	1	78.99	2.98	True	False	78.98720502853394	81.96781206130981	[['a', 81.02739000320435]]	-2.0	unseen	False	True	2.037390003204351	2.980607032775879	1.0	17.0	1628105051.4402	False		False			
06	ses-015	19	images_fmri/bracelet2/bracelet2_04s.jpg	seen	952	80	4	None	189.0	2863.0	4.0	seen-within-between	3	1	83.46	2.98	True	False	83.44939517974854	86.43303418159485	[['a', 85.21600699424744]]	-2.0	unseen	True	True	1.7560069942474428	2.983639001846313	1.0	18.0	1628105055.9024	False		False	14.0	0.0	90.0
