subject	session	TrialNumber	image_path	condition	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	subcondition	repetition	run	onset	duration	response_mapping_flip_h	response_mapping_flip_v	onset_flip	offset_flip	keypresses	response	response_txt	error	response_confidence	response_time	duration_flip	ran	order	session_trial_time	atypical	atypical_log	exclude_session	delay_days	delay_seconds	trials_since_lastrep
03	ses-018	1	images_fmri/altar/altar_06s.jpg	unseen	78	7	6	None	17.0	237.0	6.0	unseen-between	1	2	3.0	2.98	True	False	3.001594192988705	5.982545515988022	[['a', 4.198393303027842]]	-2.0	unseen	False	True	1.1983933030278422	2.980951322999317	1.0	0.0	503709.5586	False		False			
03	ses-018	2	images_fmri/suspenders/suspenders_06s.jpg	unseen	7398	617	6	None	1590.0	22459.0	6.0	unseen-within	1	2	7.47	2.98	True	True	7.467595722991973	10.4482189710252	[['a', 8.96625244000461]]	-2.0	unseen	False	True	1.4962524400046098	2.980623248033225	1.0	1.0	503714.0246	False		False			
03	ses-018	3	images_fmri/pigeon/pigeon_06s.jpg	seen	5586	466	6	None	1172.0	16678.0	6.0	seen-between-within	3	2	11.94	2.98	True	True	11.9353624220239	14.918633740977384	[['b', 12.947023114014883]]	2.0	seen	False	True	1.007023114014883	2.9832713189534843	1.0	2.0	503718.4923	False		False	0.0	376.43089999997756	61.0
03	ses-018	4	images_fmri/croissant/croissant_06s.jpg	seen	2202	184	6	None	443.0	6411.0	6.0	seen-between	2	2	16.41	2.98	True	False	16.416181217995472	19.38071677298285	[['b', 18.518391655990854], ['a', 19.061872760998085]]	-1.0	unseen	True	False	2.1083916559908538	2.9645355549873784	1.0	3.0	503722.9732	False		False	7.0	0.0	88.0
03	ses-018	5	images_fmri/hula_hoop/hula_hoop_06s.jpg	unseen	3894	325	6	None	811.0	11599.0	6.0	unseen-within	1	2	20.88	2.98	True	False	20.882739459979348	23.8646854510298	[['a', 22.057419646007475]]	-2.0	unseen	False	True	1.1774196460074755	2.981945991050452	1.0	4.0	503727.4397	False		False			
03	ses-018	6	images_fmri/ladder/ladder_06s.jpg	seen	4194	350	6	None	887.0	12699.0	6.0	seen-within-between	3	2	25.35	2.98	True	True	25.350349778018423	28.330139691999648	[['a', 27.021109605033416]]	-2.0	unseen	True	True	1.6711096050334149	2.9797899139812216	1.0	5.0	503731.9073	False		False	7.0	0.0	128.0
03	ses-018	7	images_fmri/pinwheel/pinwheel_06s.jpg	seen	5646	471	6	None	1186.0	16871.0	6.0	seen-between-within	3	2	29.82	2.98	True	True	29.813804616976995	32.7965607480146	[['y', 32.049491762008984], ['b', 32.418215318990406]]	1.0	seen	False	False	2.229491762008984	2.982756131037604	1.0	6.0	503736.3708	False		False	0.0	224.4421999999904	27.0
03	ses-018	8	images_fmri/garbage/garbage_06s.jpg	seen	3162	264	6	None	656.0	9424.0	6.0	seen-within-between	3	2	34.29	2.98	False	True	34.28366089699557	37.26228106301278	[['y', 36.490235591016244]]	-2.0	unseen	True	True	2.200235591016245	2.978620166017208	1.0	7.0	503740.8406	False		False	7.0	0.0	273.0
03	ses-018	9	images_fmri/retainer/retainer_06s.jpg	seen	6222	519	6	None	1304.0	18567.0	6.0	seen-within-between	3	2	38.76	2.98	True	False	38.76607160398271	41.729699451010674	[['x', 40.06727979303105]]	2.0	seen	False	True	1.30727979303105	2.963627847027965	1.0	8.0	503745.3231	False		False	7.0	0.0	264.0
03	ses-018	10	images_fmri/bow2/bow2_06s.jpg	seen	882	74	6	None	176.0	2683.0	6.0	seen-between-within	3	2	43.23	2.98	True	True	43.23419890698278	46.21299808297772	[['b', 44.140860504005104]]	2.0	seen	False	True	0.9108605040051074	2.9787991759949364	1.0	9.0	503749.7912	False		False	0.0	233.39489999995567	29.0
03	ses-018	11	images_fmri/ladle/ladle_06s.jpg	seen	4206	351	6	None	888.0	12714.0	6.0	seen-between	2	2	47.7	2.98	True	True	47.69972259399947	50.68079250998562	[['x', 50.03896132198861]]	-1.0	unseen	True	False	2.338961321988606	2.9810699159861542	1.0	10.0	503754.2567	False		False	7.0	0.0	74.0
03	ses-018	12	images_fmri/cage/cage_06s.jpg	unseen	1230	103	6	None	237.0	3523.0	6.0	unseen-within	1	2	52.17	2.98	False	True	52.16621281899279	55.14538443100173	[['y', 53.89126906299498]]	-2.0	unseen	False	True	1.7212690629949776	2.9791716120089404	1.0	11.0	503758.7232	False		False			
03	ses-018	13	images_fmri/egg/egg_06s.jpg	unseen	2706	226	6	None	547.0	7940.0	6.0	unseen-between	1	2	56.64	2.98	False	False	56.63248619600199	59.61239722598111	[['y', 58.806057116016746]]	-2.0	unseen	False	True	2.166057116016745	2.979911029979121	1.0	12.0	503763.1895	False		False			
03	ses-018	14	images_fmri/toolbox/toolbox_06s.jpg	unseen	7830	653	6	None	1678.0	23683.0	6.0	unseen-within	1	2	61.11	2.98	True	False	61.1151561869774	64.07816694898065	[['a', 63.25787104998017]]	-2.0	unseen	False	True	2.147871049980168	2.9630107620032504	1.0	13.0	503767.6721	False		False			
03	ses-018	15	images_fmri/spinach/spinach_06s.jpg	unseen	7074	590	6	None	1516.0	21437.0	6.0	unseen-within	1	2	65.58	2.98	False	True	65.57908825803315	68.56242815498263	[['y', 67.58126828202512]]	-2.0	unseen	False	True	2.001268282025123	2.9833398969494738	1.0	14.0	503772.1361	False		False			
03	ses-018	16	images_fmri/t-shirt/t-shirt_06s.jpg	unseen	7458	622	6	None	1607.0	22701.0	6.0	unseen-within	1	2	70.05	2.98	False	False	70.04928245500196	73.02801940101199	[['y', 71.84526144800475]]	-2.0	unseen	False	True	1.7952614480047515	2.978736946010031	1.0	15.0	503776.6063	False		False			
