trial_type	image_path	onset	offset	block	task_version	category	subcategory	image_num	block_trial	duration	target
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/house/house-137.jpg	6.471207684953697	6.87154629896395	0	def	places	house	house-137.jpg	0.0	0.4003386140102521	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/.git/annex/objects/x8/7f/MD5E-s100506--7ee5343bb7f988a69093e97b573b439a.jpg/MD5E-s100506--7ee5343bb7f988a69093e97b573b439a.jpg	6.973374918918124	7.365104557946324	0	def	places	house	house-xx.jpg	1.0	0.39172963902819896	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/.git/annex/objects/1j/Q9/MD5E-s156928--d8e89fd5bfc3f6219d1932dd066d4d92.jpg/MD5E-s156928--d8e89fd5bfc3f6219d1932dd066d4d92.jpg	7.465514155919664	7.865072872024029	0	def	places	house	house-xx.jpg	2.0	0.3995587161043659	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/house/house-20.jpg	7.965065159020014	8.364974903990515	0	def	places	house	house-20.jpg	3.0	0.3999097449705005	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/.git/annex/objects/jM/Vp/MD5E-s104699--aaa7fdb5a62d21d7aedfaf813d269d6a.jpg/MD5E-s104699--aaa7fdb5a62d21d7aedfaf813d269d6a.jpg	8.448366545024326	8.84835999098141	0	def	places	house	house-xx.jpg	4.0	0.3999934459570795	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/house/house-89.jpg	8.948380069923589	9.34834010095801	0	def	places	house	house-89.jpg	5.0	0.3999600310344249	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/house/house-67.jpg	9.448364285985008	9.848346833023244	0	def	places	house	house-67.jpg	6.0	0.3999825470382348	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/.git/annex/objects/43/QM/MD5E-s125806--217ed61d67bebd4661f119a24ab423af.jpg/MD5E-s125806--217ed61d67bebd4661f119a24ab423af.jpg	9.948384589981286	10.348344800993802	0	def	places	house	house-xx.jpg	7.0	0.3999602110125125	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/.git/annex/objects/xj/f6/MD5E-s141291--46789fde3105f6a646654dc711418f02.jpg/MD5E-s141291--46789fde3105f6a646654dc711418f02.jpg	10.431645910954103	10.831633455003615	0	def	places	house	house-xx.jpg	8.0	0.3999875440495089	False
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/.git/annex/objects/k8/GG/MD5E-s113492--6b6dca597ca16701357cceece2074860.jpg/MD5E-s113492--6b6dca597ca16701357cceece2074860.jpg	10.931651956983844	11.331612195936033	0	def	places	house	house-xx.jpg	9.0	0.3999602389521897	False
